PropName,Borough,System,Type of Water Feature
The Big Park,R,R068-SPRAY0708,Spray Shower
Sperandeo Brothers Playground,B,B163-SPRAY084,Spray Shower
Starr Playground,Q,Q291-SPRAY0441,Spray Shower
Jerome Playground South,X,X148C7-SPRAY0629,Spray Shower
Whitestone Playground,Q,Q343-SPRAY0476,Spray Shower
Dodger Playground,B,B121-SPRAY059,Spray Shower
Central Park,M,M010-193-SPRAY0224,Spray Shower
Coleman Playground,M,M019-SPRAY0235,Spray Shower
Dongan Playground,R,R087-SPRAY0560,Spray Shower
Zimmerman Playground,X,X087-SPRAY0599,Spray Shower
Bayview Playground,B,B274-SPRAY0149,Spray Shower
Osborn Playground,B,B343-SPRAY0191,Spray Shower
Gonzalo Plasencia Playground,B,B210I-SPRAY0101,Spray Shower
Playground One,M,M196-SPRAY0311,Spray Shower
Rockaway Beach and Boardwalk,Q,Q162-ZN01B-SPRAY0739,Spray Shower
Hunts Point Playground,X,X113-SPRAY0614,Spray Shower
Emerald Playground,Q,Q344-SPRAY0477,Spray Shower
Golconda Playground,B,B243-SPRAY0123,Spray Shower
Forest Park,Q,Q015-09-SPRAY0371,Spray Shower
Bronx Park,X,X002-04-SPRAY0567,Spray Shower
Lozada Playground,X,X131-SPRAY0624,Spray Shower
Luther Gulick Park,M,M065-SPRAY0261,Spray Shower
Francis Lewis Park,Q,Q126-01-SPRAY0420,Spray Shower
Bushwick Inlet Park,B,B529-SPRAY0773,Spray Shower
De Matti Park,R,R035-SPRAY0547,Spray Shower
Forest Park,Q,Q015-08-SPRAY0697,Spray Shower
Ward's Island Park,M,M107-SPRAY691,Spray Shower
Fox Playground,B,B248-SPRAY0129,Spray Shower
Bay Terrace Playground,Q,Q399-SPRAY0515,Spray Shower
Washington Square Park,M,M098-02-SPRAY0282,Spray Shower
Prospect Plaza Park,B,B585-SPRAY0776,Spray Shower
Betsy Head Park,B,B008-03-SPRAY0766,Spray Shower
John Jay Park,M,M045-SPRAY0251,Spray Shower
Bellaire Playground,Q,Q322-SPRAY0461,Spray Shower
Flushing Meadows Corona Park,Q,Q099-20-SPRAY0406,Spray Shower
Lefferts Playground,Q,Q096E-SPRAY0399,Spray Shower
Central Park,M,M010-195-SPRAY0225,Spray Shower
Kolbert Playground,B,B150-SPRAY073,Spray Shower
Richman (Echo) Park,X,X017-02-SPRAY0584,Spray Shower
Oxport Playground,B,B295-SPRAY0160,Spray Shower
Owl's Head Park,B,B066-02-SPRAY032,Spray Shower
Washington's Walk,X,X038-01-SPRAY0589,Spray Shower
Nathan Weidenbaum Playground,Q,Q205B-SPRAY0432,Spray Shower
Spuyten Duyvil Playground,X,X171-SPRAY0651,Spray Shower
Kissena Corridor Park,Q,Q300-04-SPRAY0447,Spray Shower
Van Nest Park,X,X093-SPRAY0603,Spray Shower
Gorman Playground,Q,Q085-SPRAY0394,Spray Shower
Corona Golf Playground,Q,Q450-SPRAY0535,Spray Shower
Slope Park Playground,B,B288-SPRAY0155,Spray Shower
Alley Park,Q,Q356-SPRAY0485,Spray Shower
Williamsbridge Oval,X,X104-01-SPRAY0608,Spray Shower
Pelham Bay Park,X,X039-ZN16-SPRAY0594,Spray Shower
Willets Point Playground,Q,Q375-SPRAY0502,Spray Shower
Washington Market Park,M,M308-SPRAY0352,Spray Shower
Fort Tryon Park,M,M029-01-SPRAY0239,Spray Shower
Tremont Park,X,X010A-01-SPRAY0579,Spray Shower
Chester Playground,B,B362-SPRAY0202,Spray Shower
Paul Raimonda Playground,Q,Q298-SPRAY0444,Spray Shower
Raymond Bush Playground,B,B216-SPRAY0105,Spray Shower
Fountain Of Youth Playground,X,X233-SPRAY0678,Spray Shower
Old Town Playground,R,R063-SPRAY0553,Spray Shower
Admiral Playground,Q,Q338-SPRAY0472,Spray Shower
Holcombe Rucker Park,M,M216-SPRAY0323,Spray Shower
Dr. Green Playground,B,B228-SPRAY0116,Spray Shower
Corporal John A. Seravalli Playground,M,M237-SPRAY0336,Spray Shower
Galileo Playground,X,X265-SPRAY0683,Spray Shower
Ditmars Playground,Q,Q385-SPRAY0507,Spray Shower
"Phil ""Scooter"" Rizzuto Park",Q,Q129-SPRAY0423,Spray Shower
Newport Playground,B,B339-SPRAY0187,Spray Shower
Sankofa Park,B,B261-SPRAY0139,Spray Shower
Sunset Park,B,B087-01-SPRAY044,Spray Shower
Telephone Playground,Q,Q349-SPRAY0481,Spray Shower
Playground 174,X,X159-SPRAY0641,Spray Shower
Joseph Austin Playground,Q,Q391-SPRAY0511,Spray Shower
Horace Harding Playground,Q,Q428-SPRAY0529,Spray Shower
Soundview Park,X,X118-02-SPRAY0619,Spray Shower
J.J. Byrne Playground,B,B111-SPRAY057,Spray Shower
Bronx Park,X,X002-08-SPRAY0571,Spray Shower
Sakura Park,M,M087-SPRAY0278,Spray Shower
Fort Greene Park,B,B032-02-SPRAY018,Spray Shower
Vinmont Veteran Park,X,X152-SPRAY0634,Spray Shower
Riverside Park,M,M071-04-SPRAY0265,Spray Shower
Winthrop Playground,B,B267-SPRAY0144,Spray Shower
Merriam Playground,X,X153-02-SPRAY0636,Spray Shower
L/CPL Thomas P. Noonan Jr. Playground,Q,Q044-SPRAY0385,Spray Shower
La Guardia Playground,B,B167-SPRAY087,Spray Shower
Marx Brothers Playground,M,M187-SPRAY0308,Spray Shower
Marble Hill Playground,X,X202-SPRAY0668,Spray Shower
Kissena Park,Q,Q024-05-SPRAY0742,Spray Shower
Alexander Hamilton Playground,M,M041-SPRAY0247,Spray Shower
James Weldon Johnson Playground,M,M111-SPRAY692,Spray Shower
Herbert Von King Park,B,B088-SPRAY046,Spray Shower
William Sheridan Playground,B,B124-SPRAY060,Spray Shower
Ethan Allen Playground,B,B345-SPRAY0192,Spray Shower
Van Cortlandt Park,X,X092-ZN02-SPRAY0760,Spray Shower
Pink Playground,B,B309-SPRAY0169,Spray Shower
Lafayette Gardens Playground,B,B317-SPRAY0175,Spray Shower
"Martin Luther King, Jr. Playground",M,M198-SPRAY0312,Spray Shower
Juniper Valley Park,Q,Q102-03-SPRAY0408,Spray Shower
Dyker Beach Park,B,B028-03-SPRAY016,Spray Shower
Almeda Playground,Q,Q443-SPRAY0532,Spray Shower
Hell's Kitchen Park,M,M277-SPRAY0781,Spray Shower
Edenwald Playground,X,X165-SPRAY0646,Spray Shower
Annadale Playground,Q,Q319-SPRAY0459,Spray Shower
Beach 59th St Playground,Q,Q162E-SPRAY0427,Spray Shower
Herman Dolgon Playground,B,B235-SPRAY0120,Spray Shower
St. Nicholas Playground South,M,M211A-SPRAY0319,Spray Shower
Rockaway Beach Boardwalk,Q,Q163-02-SPRAY0696,Spray Shower
Reiff Playground,Q,Q423-SPRAY0526,Spray Shower
Nathan Straus Playground,M,M241-SPRAY0340,Spray Shower
Bronx River Parkway,X,X004-02-SPRAY0574,Spray Shower
Hammel Playground,Q,Q367-SPRAY0498,Spray Shower
McCarren Park,B,B058-01-SPRAY028,Spray Shower
Willis Playground,X,X217-SPRAY0673,Spray Shower
Tanahey Playground,M,M206-SPRAY0317,Spray Shower
Bailey Playground,X,X150J-SPRAY0632,Spray Shower
Mosholu Parkway,X,X033-01-SPRAY0587,Spray Shower
FDR Beach and Boardwalk,Q,R046-ZN05-SPRAY0735,Spray Shower
Marlboro Playground,B,B272-SPRAY0148,Spray Shower
White Park,R,R012-SPRAY0538,Spray Shower
Lafayette Playground,B,B023-SPRAY011,Spray Shower
Playground 52 LII,X,X179-SPRAY0656,Spray Shower
Rudd Playground,B,B131-SPRAY066,Spray Shower
Playground 286,B,B306-SPRAY0167,Spray Shower
Bayswater Park,Q,Q007-01-SPRAY0363,Spray Shower
Little Flower Playground,M,M132-SPRAY0295,Spray Shower
Daniel M. O'Connell Playground,Q,Q106-SPRAY0412,Spray Shower
Rochdale Park,Q,Q413-02-SPRAY0521,Spray Shower
Elmhurst Park,Q,Q492-SPRAY0747,Spray Shower
Franklin D. Roosevelt Boardwalk and Beach,R,R046-07-SPRAY0551,Spray Shower
Underwood Park,B,B259-SPRAY0137,Spray Shower
Delphin H. Greene Playground,Q,Q307-SPRAY0454,Spray Shower
Grace Playground,B,B078-SPRAY040,Spray Shower
Carmansville Playground,M,M018-SPRAY0234,Spray Shower
Beach 17 Playground,Q,Q162J-SPRAY0734,Spray Shower
Central Park,M,M010-089-SPRAY0215,Spray Shower
Lieutenant John H. Martinson Playground,R,R090-SPRAY0715,Spray Shower
Frederick B. Judge Playground,Q,Q119-SPRAY0416,Spray Shower
Russell Pedersen Playground,B,B192-SPRAY091,Spray Shower
MacArthur Playground,M,M256-SPRAY0343,Spray Shower
Clintonville Playground,Q,Q390-SPRAY0510,Spray Shower
Moore Homestead Playground,Q,Q361-SPRAY0493,Spray Shower
Garibaldi Playground,B,B158-SPRAY080,Spray Shower
"""Uncle"" Vito F. Maranzano Glendale Playground",Q,Q290-SPRAY0440,Spray Shower
Curtis Playground,B,B352-SPRAY0196,Spray Shower
Van Cortlandt Park,X,X092-09-SPRAY0602,Spray Shower
Rev J Polite Playground,X,X116-SPRAY0617,Spray Shower
Willow Lake Playground,Q,Q348-SPRAY0480,Spray Shower
Spirit Playground,Q,Q429-SPRAY0530,Spray Shower
Mafera Park,Q,Q305-SPRAY0452,Spray Shower
Beanstalk Playground,X,X283-SPRAY0688,Spray Shower
Carter G. Woodson Children's Park,B,B397-SPRAY0209,Spray Shower
Pfc Norton Playground,B,B208-SPRAY096,Spray Shower
Playground Eighty Nine LXXXIX,M,M264-SPRAY0347,Spray Shower
Nautilus Playground,Q,Q448-01-SPRAY0753,Spray Shower
Jennie Jerome Playground,X,X148C5-SPRAY0628,Spray Shower
Cambria Playground,Q,Q339-SPRAY0473,Spray Shower
Courtney Callender Playground,M,M155-SPRAY0300,Spray Shower
Burns Playground,X,X232-SPRAY0677,Spray Shower
Prospect Park,B,B073-10-SPRAY037,Spray Shower
Sara D. Roosevelt Park,M,M105-04-SPRAY0288,Spray Shower
Martin Luther King Jr. Playground,B,B056-SPRAY024,Spray Shower
Highbridge Park,M,M037-03-SPRAY0242,Spray Shower
Belmont Playground,B,B283-SPRAY0769,Spray Shower
Richman (Echo) Park,X,X017-01-SPRAY0583,Spray Shower
Matthew P. Sapolin Playground,M,M233-SPRAY0332,Spray Shower
Crocheron Park,Q,Q012-01-SPRAY0366,Spray Shower
Hattie Carthan Playground,B,B323-SPRAY0179,Spray Shower
Lt. Joseph Petrosino Park,B,B099-SPRAY050,Spray Shower
Paerdegat Park,B,B218-SPRAY0107,Spray Shower
Skyline Playground,R,R123-SPRAY0564,Spray Shower
Highland Park,Q,Q020-01-SPRAY0374,Spray Shower
Oracle Playground,B,B300-SPRAY0164,Spray Shower
Manhattan Beach Park,B,B251-08-SPRAY0133,Spray Shower
Tiffany Playground,X,X190-SPRAY0660,Spray Shower
St. Albans Park,Q,Q051-01-SPRAY0388,Spray Shower
Leif Ericson Park,B,B052-03-SPRAY022,Spray Shower
Carroll Park,B,B019-SPRAY08,Spray Shower
Heckscher Playground,B,B139-SPRAY068,Spray Shower
East Springfield Playground,Q,Q404-SPRAY0729,Spray Shower
St. Nicholas Park,M,M077-03-SPRAY0273,Spray Shower
Susan Smith McKinney Steward Park,B,B222JB-SPRAY0783,Spray Shower
Taaffe Playground,B,B105-SPRAY053,Spray Shower
Grover Cleveland Playground,Q,Q002-SPRAY0355,Spray Shower
Central Park,M,M010-167-SPRAY0219,Spray Shower
Jackie Robinson Park,M,M014-02-SPRAY0230,Spray Shower
Flushing Meadows Corona Park,Q,Q099-01-SPRAY0401,Spray Shower
Woodtree Playground,Q,Q332-SPRAY0466,Spray Shower
Remsen Playground,B,B360-SPRAY0200,Spray Shower
Slattery Playground,X,X085-SPRAY0598,Spray Shower
Playground One Forty,Q,Q220E-SPRAY0437,Spray Shower
Morningside Park,M,M056-02-SPRAY0256,Spray Shower
Baisley Pond Park,Q,Q005-11-SPRAY0360,Spray Shower
Cedar Playground,X,X111-SPRAY0612,Spray Shower
Frederick Douglass Playground,M,M220-SPRAY0327,Spray Shower
Playground Sixty Two LXII,Q,Q377-SPRAY0503,Spray Shower
Crowley Playground,Q,Q360J-SPRAY0490,Spray Shower
Rappaport Playground,B,B152-SPRAY075,Spray Shower
Dawson Playground,X,X164-SPRAY0645,Spray Shower
WNYC Transmitter Park,B,B385-SPRAY0772,Spray Shower
Riverside Park,M,M071-34-SPRAY0270,Spray Shower
Nautilus Playground,B,B268-SPRAY0145,Spray Shower
J. Hood Wright Park,M,M099-01-SPRAY0284,Spray Shower
Gen. Douglas MacArthur Park,R,R067-SPRAY0555,Spray Shower
Cleopatra Playground,X,X258-SPRAY0681,Spray Shower
Springfield Park,Q,Q107-01-SPRAY0413,Spray Shower
Recreational Area,M,M140-01-SPRAY0296,Spray Shower
Frank D. O'Connor Playground,Q,Q098-SPRAY0400,Spray Shower
Park Of The Americas,Q,Q026-SPRAY0381,Spray Shower
Parade Ground,B,B068-01-SPRAY033,Spray Shower
Luna Playground,B,B296-SPRAY0161,Spray Shower
James J Walker Park,M,M038-SPRAY0246,Spray Shower
Potomac Playground,B,B262-SPRAY0140,Spray Shower
Marine Park,B,B057-06-SPRAY0705,Spray Shower
Herbert Von King Park,B,B088-03-SPRAY047,Spray Shower
McLaughlin Playground,Q,Q021B-SPRAY0377,Spray Shower
Hickman Playground,B,B330-SPRAY0182,Spray Shower
Park Slope Playground,B,B320-SPRAY0176,Spray Shower
Greenpoint Playground,B,B043-SPRAY019,Spray Shower
Triborough Bridge Playground C,Q,Q066C-SPRAY0738,Spray Shower
Morningside Park,M,M056-ZN04-SPRAY0257,Spray Shower
Mercer Playground,M,M295-SPRAY0351,Spray Shower
Gerard P. Dugan Playground,R,R026-SPRAY0542,Spray Shower
Haffen Park,X,X196-02-SPRAY0664,Spray Shower
Oakland Gardens,Q,Q400-SPRAY0516,Spray Shower
Sara D. Roosevelt Park,M,M105-08-SPRAY0289,Spray Shower
Houston Playground,B,B363-SPRAY0203,Spray Shower
Col. Young Playground,M,M186-SPRAY0307,Spray Shower
D'Emic Playground,B,B210B-SPRAY099,Spray Shower
Central Park,M,M010-188-SPRAY0223,Spray Shower
Central Park,M,M010-202-SPRAY0226,Spray Shower
Brower Park,B,B012-SPRAY03,Spray Shower
Seward Park,M,M082-SPRAY0277,Spray Shower
Tilden Playground,B,B234-SPRAY0119,Spray Shower
Van Dyke Playground,B,B249-SPRAY0130,Spray Shower
Cherry Tree Park,M,M215-SPRAY0322,Spray Shower
Bland Playground,Q,Q326-SPRAY0462,Spray Shower
Thomas Jefferson Park,M,M047-01-SPRAY0252,Spray Shower
Audubon Playground,M,M240-SPRAY0339,Spray Shower
Linwood Playground,B,B149B-SPRAY072,Spray Shower
Garden Playground,B,B340-SPRAY0188,Spray Shower
Flushing Meadows Corona Park,Q,Q099-18-SPRAY0405,Spray Shower
Maple Playground,Q,Q211-SPRAY0433,Spray Shower
St. James Park,X,X044-01-SPRAY0595,Spray Shower
Forest Park,Q,Q015-10-SPRAY0372,Spray Shower
Aqueduct Walk,X,X001A-01-SPRAY0566,Spray Shower
Real Good Playground,Q,Q357B-SPRAY0486,Spray Shower
Rienzi Playground,X,X141-SPRAY0625,Spray Shower
Agnes Haywood Playground,X,X169-SPRAY0649,Spray Shower
Joseph T McGuire Park,B,B166D-01-SPRAY0704,Spray Shower
Riverside Park,M,M071-08-SPRAY0266,Spray Shower
Andrews Grove,Q,Q045-SPRAY0386,Spray Shower
Forest Park,Q,Q015-02-SPRAY0367,Spray Shower
Markham Playground,R,R076-SPRAY0558,Spray Shower
Millbrook Playground,X,X182-SPRAY0657,Spray Shower
Randall Playground,X,X203-SPRAY0669,Spray Shower
Beach 30th Street Playground,Q,Q162H-SPRAY0740,Spray Shower
Monsignor Kett Playground,M,M199-SPRAY0313,Spray Shower
Seaside Playground,Q,Q422-SPRAY0525,Spray Shower
Flushing Fields,Q,Q086-01-SPRAY0395,Spray Shower
Elmhurst Park,Q,Q492-SPRAY0748,Spray Shower
Grassmere Playground,Q,Q353-SPRAY0732,Spray Shower
Bronx River Parkway,X,X004-03-SPRAY0575,Spray Shower
Frank Principe Park,Q,Q131-01-SPRAY0424,Spray Shower
Riverbend Playground,X,X175-SPRAY0652,Spray Shower
McDonald Playground,B,B244-SPRAY0124,Spray Shower
Shore Park and Parkway,B,B082-02-SPRAY043,Spray Shower
Dyker Beach Park,B,B028-01-SPRAY015,Spray Shower
Power Playground,B,B291-SPRAY0156,Spray Shower
Willoughby Playground,B,B348-SPRAY0193,Spray Shower
Calvert Vaux Park,B,B125-01-SPRAY061,Spray Shower
Marion Hopkinson Playground,B,B110-SPRAY0765,Spray Shower
Ten Eyck Playground,B,B311-SPRAY0171,Spray Shower
Lillian D Wald Playground,M,M064-SPRAY0260,Spray Shower
Bufano Park,X,X121-SPRAY0620,Spray Shower
Juniper Valley Park,Q,Q102-03-SPRAY0698,Spray Shower
Playground Eighty LXXX,Q,Q318-SPRAY0458,Spray Shower
Dry Dock Playground,M,M270-SPRAY0348,Spray Shower
Austin J. McDonald Playground,R,R034-SPRAY0546,Spray Shower
Brizzi Playground,B,B162-SPRAY083,Spray Shower
Linden Park,B,B214-01-SPRAY0104,Spray Shower
Fort Washington Park,M,M028-02-SPRAY0238,Spray Shower
St. Mark's Playground,B,BT16-SPRAY0706,Spray Shower
McCaffrey Playground,M,M161-SPRAY0303,Spray Shower
Playground Thirty Five XXXV,Q,Q296-SPRAY0743,Spray Shower
Alice Kornegay Triangle,M,M208A-SPRAY0318,Spray Shower
St. Andrew's Playground,B,B225-SPRAY0114,Spray Shower
Rockaway Beach Boardwalk,Q,Q163-02-SPRAY0695,Spray Shower
Samuel Seabury Playground,M,M236-SPRAY0335,Spray Shower
South Pacific Playground,B,B153-SPRAY076,Spray Shower
William McCray Playground,M,M110-SPRAY0291,Spray Shower
Washington's Walk,X,X038-02-SPRAY0590,Spray Shower
Louis C. Moser Playground,Q,Q366-SPRAY0497,Spray Shower
Mother Cabrini Park,B,B390-SPRAY0206,Spray Shower
Montbellier Park,Q,Q396-SPRAY0512,Spray Shower
Bronx Park,X,X002-07-SPRAY0570,Spray Shower
Vidalia Park,X,X266-SPRAY0684,Spray Shower
Ciccarone Park,X,X102-SPRAY0604,Spray Shower
Kissena Corridor Park,Q,Q300A-01-SPRAY0448,Spray Shower
Hope Ballfield,B,B429-SPRAY0774,Spray Shower
Hunter's Point South Park,Q,Q471-01-SPRAY0719,Spray Shower
The Painter's Playground,Q,Q306-SPRAY0453,Spray Shower
Astoria Health Playground,Q,Q123-SPRAY0726,Spray Shower
Clement Clarke Moore Park,M,M257-SPRAY0344,Spray Shower
Melrose Playground,X,X154-SPRAY0637,Spray Shower
Central Park,M,M010-103-SPRAY0216,Spray Shower
Hamilton Metz Field,B,B193-SPRAY092,Spray Shower
Luna Playground,B,B296-DF0360,Drinking Fountain
Marine Park,B,B057-DF1014,Drinking Fountain
Owl's Head Park,B,B066-DF0720,Drinking Fountain
Bartlett Playground,B,B286-DF0398,Drinking Fountain
Bath Beach Park,B,B164-DF0627,Drinking Fountain
Seeley Park,B,B255J-DF0538,Drinking Fountain
Ruppert Park,M,M294-DF0254,Drinking Fountain
Tudor Park,Q,Q094-DF0497,Drinking Fountain
Forest Park,Q,Q015-DF0897,Drinking Fountain
John Jay Park,M,M045-DF0226,Drinking Fountain
Peters Field,Q,Q351-DF0472,Drinking Fountain
Playground of the Americas,M,M120B-DF0615,Drinking Fountain
Bill Brown Playground,B,B109-DF1073,Drinking Fountain
Commodore Barry Park,B,B021-DF0734,Drinking Fountain
Coney Island Beach & Boardwalk,B,B169-DF0539,Drinking Fountain
Jacob H. Schiff Playground,M,M223-DF0494,Drinking Fountain
Francis Lewis Park,Q,Q126-DF0678,Drinking Fountain
Curtis Playground,B,B352-DF0394,Drinking Fountain
St. Catherine's Park,M,M079-DF0266,Drinking Fountain
Central Park,M,M010-DF0594,Drinking Fountain
Clark Playground,X,X200-DF0183,Drinking Fountain
Bronx River Parkway,X,X004-DF0075,Drinking Fountain
Little Bay Park,Q,Q010A-DF0669,Drinking Fountain
Corlears Hook Park,M,M017-DF0346,Drinking Fountain
John V. Lindsay East River Park,M,M144-DF0354,Drinking Fountain
Red Hook Recreation Area,B,B126-DF1076,Drinking Fountain
John V. Lindsay East River Park,M,M144-DF0396,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0291,Drinking Fountain
Imagination Playground,M,M386-DF0334,Drinking Fountain
Park Of The Americas,Q,Q026-DF0146,Drinking Fountain
Silver Lake Park,R,R022-DF0152,Drinking Fountain
Parade Ground,B,B068-DF0352,Drinking Fountain
Schmul Park,R,R045-DF0026,Drinking Fountain
Spring Creek Park,B,B371-DF0111,Drinking Fountain
Van Cortlandt Park,X,X092-DF0265,Drinking Fountain
City Line Park,B,B141-DF0191,Drinking Fountain
Freshkills Park,R,R017-DF0130,Drinking Fountain
Beach 30th Street Playground,Q,Q162H-DF0342,Drinking Fountain
Bushwick Inlet Park,B,B529-DF0029,Drinking Fountain
Cambria Playground,Q,Q339-DF0785,Drinking Fountain
Central Park,M,M010-DF1040,Drinking Fountain
Fort Greene Park,B,B032-DF0867,Drinking Fountain
100% Playground,B,B342-DF0274,Drinking Fountain
Washington Square Park,M,M098-DF0982,Drinking Fountain
John V. Lindsay East River Park,M,M144-DF0367,Drinking Fountain
Lost Battalion Hall Recreation Center,Q,Q401-DF0965,Drinking Fountain
Harvey Park,Q,Q089B-DF0657,Drinking Fountain
Van Voorhees Playground,B,B050-DF0264,Drinking Fountain
Sol Bloom Playground,M,M244-DF0337,Drinking Fountain
Slope Park Playground,B,B288-DF0533,Drinking Fountain
Nathan Straus Playground,M,M241-DF0299,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0262,Drinking Fountain
Central Park,M,M010-DF0927,Drinking Fountain
Inwood Hill Park,M,M042-DF0188,Drinking Fountain
Rev. T. Wendell Foster Park and Recreation Center,X,X034-DF0525,Drinking Fountain
Brigadier General Charles Young Playground,M,M186-DF0540,Drinking Fountain
Highbridge Park,M,M037-DF0029,Drinking Fountain
Prall Playground,R,R105-DF0129,Drinking Fountain
Grover Cleveland Playground,Q,Q002-DF0904,Drinking Fountain
Barretto Point Park,X,X307-DF0586,Drinking Fountain
Tudor Park,Q,Q094-DF0496,Drinking Fountain
Crowley Playground,Q,Q360J-DF0827,Drinking Fountain
Riverside Park,M,M071-DF0080,Drinking Fountain
Jackie Robinson Park,M,M014-DF0477,Drinking Fountain
Owl's Head Park,B,B066-DF0878,Drinking Fountain
Fort Totten Park,Q,Q458-DF0975,Drinking Fountain
Petrosino Square,M,M170-DF0301,Drinking Fountain
Greenwood Playground,B,B130-DF0548,Drinking Fountain
Hunts Point Playground,X,X113-DF0583,Drinking Fountain
Forest Park,Q,Q015-DF0017,Drinking Fountain
Franklin D. Roosevelt Boardwalk and Beach,R,R046-DF0038,Drinking Fountain
Haffen Park,X,X196-DF0040,Drinking Fountain
Marcus Garvey Park,M,M058-DF0500,Drinking Fountain
Beach 17 Playground,Q,Q162J-DF0356,Drinking Fountain
Metropolitan Recreation Center,B,B085-DF1069,Drinking Fountain
Manhattan Beach Park,B,B251-DF0612,Drinking Fountain
Dyker Beach Park,B,B028-DF0664,Drinking Fountain
Long Island Mews,Q,Q434-DF0384,Drinking Fountain
St. Mary's Park,X,X045-DF0007,Drinking Fountain
Bronx Park,X,X002-DF0242,Drinking Fountain
Prospect Park,B,B073-DF0933,Drinking Fountain
Parade Ground,B,B068-DF0351,Drinking Fountain
Central Park,M,M010-DF0589,Drinking Fountain
The High Line,M,M360-DF0869,Drinking Fountain
White Playground,M,M148-DF0516,Drinking Fountain
Haggerty Park,Q,Q359-DF0466,Drinking Fountain
Battery Park City,M,M283A-DF0177,Drinking Fountain
Commodore Barry Park,B,B021-DF1081,Drinking Fountain
Thomas Jefferson Park,M,M047-DF0957,Drinking Fountain
Franklin D. Roosevelt Boardwalk and Beach,R,R046-DF0076,Drinking Fountain
Stroud Playground,B,B350-DF0956,Drinking Fountain
Bill Rainey Park,X,X255-DF0206,Drinking Fountain
Macombs Dam Park,X,X030-DF0424,Drinking Fountain
Hunter's Point South Park,Q,Q471-DF0886,Drinking Fountain
Coney Island Beach & Boardwalk,B,B169-DF0583,Drinking Fountain
Morningside Park,M,M056-DF0461,Drinking Fountain
Alley Pond Park,Q,Q001-DF0702,Drinking Fountain
Lillian D Wald Playground,M,M064-DF0294,Drinking Fountain
Matthew P. Sapolin Playground,M,M233-DF0324,Drinking Fountain
