System,DF Activated,FountainType,FountainCount,Painted,Filter Installed,Position,Outdoor,GISPropNum,PropertyName,OMPPropID,SubPropertyName,ParkDistrict,Borough,AMPSID,AMPSClass,AMPSStatus,AMPSParentID,AMPSName,CommunityBoard,CouncilDistrict,Precinct,ZIPCode,x,y
M360-DF0121,NotYetActivated,Trough,1,true,false,"Out in Open, Just Outside Playground",true,M360,The High Line,M360-ZN02,The High Line Zone 2,M-16,M,100039491,DRINKFTN,I,M360-ZN02,Trough-The High Line-The High Line Zone 2,104,3,10,10001,983084.919312968,213834.318115979
M360-DF0869,NotYetActivated,Trough,1,,false,,true,M360,The High Line,M360-ZN01,The High Line Zone 1,M-16,M,100043324,DRINKFTN,I,M360-ZN01,Trough-The High Line-The High Line Zone 1,102,3,6,10014,981955.013764381,208811.390825897
M376-DF0058,Activated,Pedestal,1,false,false,Out in Open,true,M376,West Harlem Piers,M376,,M-14,M,100039335,DRINKFTN,I,M376,Pedestal-West Harlem Piers,109,7,26,10027,994841.08641711,237411.442878788
M376-DF0059,Broken,Other,1,false,false,Out in Open,true,M376,West Harlem Piers,M376,,M-14,M,100039386,DRINKFTN,I,M376,Other-West Harlem Piers,109,7,26,10027,994953.577662214,237502.004048228
M376-DF0060,Broken,Other,1,false,false,Under Tree,true,M376,West Harlem Piers,M376,,M-14,M,100039309,DRINKFTN,I,M376,Other-West Harlem Piers,109,7,26,10027,995250.138092726,237979.967331141
M378-DF0335,Activated,E High Low,2,true,false,Out in Open,true,M378,Pearl St Playground,M378,,M-01,M,100039943,DRINKFTN,I,M378,E High Low-Pearl St Playground,101,1,1,10038,983191.722248971,197181.757589146
M385-DF0871,UnderConstruction,F,1,,false,,true,M385,DeLury Square,M385,,M-01,M,100043268,DRINKFTN,I,M385,F-DeLury Square,101,1,1,10038,982877.277339801,197583.005802392
M386-DF0334,Activated,E High Low,2,true,false,Out in Open,true,M386,Imagination Playground,M386,,M-01,M,100039960,DRINKFTN,I,M386,E High Low-Imagination Playground,101,1,1,10038,983150.951005056,196559.417954564
M391-DF0331,Activated,Pedestal,1,false,false,In Shade,true,M391,East River Waterfront Esplanade,M391,,M-01,M,100039926,DRINKFTN,I,M391,Pedestal-East River Waterfront Esplanade,101,1,1,10004,982166.642606213,195474.807590976
M391-DF0332,Activated,Pedestal,1,false,false,In Shade,true,M391,East River Waterfront Esplanade,M391,,M-01,M,100039949,DRINKFTN,I,M391,Pedestal-East River Waterfront Esplanade,101,1,1,10004,982325.048129305,195602.230236396
M391-DF0333,Activated,Pedestal High Low,2,false,false,In Shade,true,M391,East River Waterfront Esplanade,M391,,M-01,M,100039977,DRINKFTN,I,M391,Pedestal High Low-East River Waterfront Esplanade,101,1,1,10038,982849.278708144,196067.9635569
M391-DF0470,Activated,Other,1,false,false,"In Shade, Near Ballfield",true,M391,East River Waterfront Esplanade,M391-ZN02,East River Waterfront Esplanade Zone 2,M-01,M,100039989,DRINKFTN,I,M391-ZN02,Other-East River Waterfront Esplanade-East River Waterfront Esplanade Zone 2,103,1,7,10002,986600.751520142,197848.84483765
M391-DF0471,Activated,Other,1,false,false,"In Shade, Near Ballfield",true,M391,East River Waterfront Esplanade,M391-ZN02,East River Waterfront Esplanade Zone 2,M-01,M,100040077,DRINKFTN,I,M391-ZN02,Other-East River Waterfront Esplanade-East River Waterfront Esplanade Zone 2,103,1,7,10002,986600.1557208,197850.721146225
M391-DF0472,Activated,Other,1,false,false,"Near Ballfield, In Shade",true,M391,East River Waterfront Esplanade,M391-ZN02,East River Waterfront Esplanade Zone 2,M-01,M,100040038,DRINKFTN,I,M391-ZN02,Other-East River Waterfront Esplanade-East River Waterfront Esplanade Zone 2,103,1,7,10002,987191.200798556,197973.691044643
M399-DF0339,NotYetActivated,F,1,true,false,Just Outside Playground,true,M399,Bella Abzug Park,M399,,M-04,M,100039901,DRINKFTN,I,M399,F-Bella Abzug Park,104,3,10,10018,984272.181702226,214738.621753558
M399-DF0340,NotYetActivated,F,1,true,false,Out in Open,true,M399,Bella Abzug Park,M399,,M-04,M,100039924,DRINKFTN,I,M399,F-Bella Abzug Park,104,3,10,10001,984078.257877469,214496.812853977
M399-DF0342,NotYetActivated,F,1,true,false,Out in Open,true,M399,Bella Abzug Park,M399,,M-04,M,100039972,DRINKFTN,I,M399,F-Bella Abzug Park,104,3,10,10001,983908.616484478,214331.683919146
M404-DF0111,NotYetActivated,E,1,true,false,Out in Open,true,M404,NYC AIDS Memorial Park at St. Vincent’s Triangle,M404,,M-02,M,100039461,DRINKFTN,I,M404,E-NYC AIDS Memorial Park at St. Vincent’s Triangle,102,3,6,10011,983910.116481468,207910.659359648
MT02-DF1028,Activated,Indoor Drinking Fountain,1,,false,Indoor,false,MT02,Arsenal North,MT02,,M-11,M,100043329,DRINKFTN,I,MT02-BLG0001,Indoor Drinking Fountain-Arsenal North,111,8,23,10029,997716.517674386,228226.158098638
MT02-DF1078,Activated,Bottle Filler Fountain,2,,false,Indoor,false,MT02,Arsenal North,MT02,,M-11,M,100042471,DRINKFTN,I,MT02-BLG0001,Bottle Filler Fountain-Arsenal North,111,8,23,10029,997716.517674386,228225.78802064
MT03-DF1029,Activated,Water Cooler,1,,false,Indoor,false,MT03,Arsenal West,MT03,,M-07,M,100043280,DRINKFTN,I,MT03-BLG0001,Water Cooler-Arsenal West-Arsenal West,107,3,20,10023,988980.865198224,219730.141954228
MT03-DF1030,Activated,Food Prep Sink,1,,false,Indoor,false,MT03,Arsenal West,MT03,,M-07,M,100043282,DRINKFTN,I,MT03-BLG0001,Food Prep Sink-Arsenal West,107,3,20,10023,988980.865198224,219730.141954228
MT03-DF1031,Activated,Bottle Filler Fountain,2,,false,Indoor,false,MT03,Arsenal West,MT03,,M-07,M,100043307,DRINKFTN,I,MT03-BLG0001,Bottle Filler Fountain-Arsenal West,107,3,20,10023,988980.865198224,219730.141954228
MT03-DF1032,Activated,Bottle Filler Fountain,2,,false,Indoor,false,MT03,Arsenal West,MT03,,M-07,M,100043332,DRINKFTN,I,MT03-BLG0001,Bottle Filler Fountain-Arsenal West,107,3,20,10023,988980.865198224,219730.141954228
MT03-DF1033,Activated,Indoor Drinking Fountain,1,,false,Indoor,false,MT03,Arsenal West,MT03,,M-07,M,100043248,DRINKFTN,I,MT03-BLG0001,Indoor Drinking Fountain-Arsenal West,107,3,20,10023,988980.865198224,219730.141954228
MT03-DF1034,Activated,Food Prep Sink,1,,false,Indoor,false,MT03,Arsenal West,MT03,,M-07,M,100043304,DRINKFTN,I,MT03-BLG0001,Food Prep Sink-Arsenal West,107,3,20,10023,988980.865198224,219730.141954228
MT03-DF1079,Activated,Food Prep Sink,1,,false,Indoor,false,MT03,Arsenal West,MT03,,M-07,M,100042468,DRINKFTN,I,MT03-BLG0001,Food Prep Sink-Arsenal West,107,3,20,10023,988981.08763872,219730.132111728
MT03-DF1080,Activated,Water Cooler,1,,false,Indoor,false,MT03,Arsenal West,MT03,,M-07,M,100042478,DRINKFTN,I,MT03-BLG0001,Water Cooler-Arsenal West-Arsenal West,107,3,20,10023,988981.08763872,219730.132111728
MT03-DF1081,Activated,Bottle Filler Fountain,2,,false,Indoor,false,MT03,Arsenal West,MT03,,M-07,M,100042481,DRINKFTN,I,MT03-BLG0001,Bottle Filler Fountain-Arsenal West,107,3,20,10023,988980.994791135,219730.132111728
MT03-DF1082,Activated,Food Prep Sink,1,,false,Indoor,false,MT03,Arsenal West,MT03,,M-07,M,100042484,DRINKFTN,I,MT03-BLG0001,Food Prep Sink-Arsenal West,107,3,20,10023,988981.052205726,219729.956915229
